ID,POSID,BANNERNAME,NAME,ADDRESS,CITY,PROVINCE ABBV.,COUNTRY ABBV.,POSTALCODE,PHONENUMBER,LATITUDE,LONGITUDE,WEBSITE URL
1,169092,Fire & Flower,Banff Caribou,229 Bear St,Banff,AB,CA,T1L 1C3,,51.17718,-115.57253,https://fireandflower.com/shop/169092?redirect=%2Fshop&agb=true
2,159598,Fire & Flower,Battleford,82B Battleford Pl,Battleford,SK,CA,S0M 0E0,,52.72951,-108.30584,https://fireandflower.com/shop/159598?redirect=%2Fshop&agb=true
3,255251,Fire & Flower,Beaumont - Montalet,6410 50 St,Beaumont,AB,CA,T4X 0B6,,53.363,-113.41532,https://fireandflower.com/shop/255251?redirect=%2Fshop&agb=true
4,169100,Fire & Flower,Calgary Sky Pointe Landing,6004 Country Hills BLVD NE,Calgary,AB,CA,T3N 1T8,,51.15443,-113.95079,https://fireandflower.com/shop/169100?redirect=%2Fshop&agb=true
5,130833,Fire & Flower,Canmore,1120 Railway Ave,Canmore,AB,CA,T1W 1P4,,51.09175,-115.35565,https://fireandflower.com/shop/130833?redirect=%2Fshop&agb=true
6,172407,Fire & Flower,Chatham St. Clair St,877 St Clair St,Chatham,ON,CA,N7M 5J7,,42.43261,-82.22171,https://fireandflower.com/shop/172407?redirect=%2Fshop&agb=true
7,255249,Fire & Flower,Cold Lake - Tri City Mall,6503 51 St,Cold Lake,AB,CA,T9M 1Z9,,54.43513,-110.20412,https://fireandflower.com/shop/255249?redirect=%2Fshop&agb=true
8,130837,Fire & Flower,Edmonton Clareview,13710 42 St NW,Edmonton,AB,CA,T5Y 2Z2,,53.5979,-113.40699,https://fireandflower.com/shop/130837?redirect=%2Fshop&agb=true
9,169098,Fire & Flower,Edmonton Jackson Heights,4357 50 St NW,Edmonton,AB,CA,T6L 7E8,,53.48172,-113.41707,https://fireandflower.com/shop/169098?redirect=%2Fshop&agb=true
10,130835,Fire & Flower,Edmonton Namao,9610 165 Ave NW,Edmonton,AB,CA,T5J 3L3,,53.62637,-113.48977,https://fireandflower.com/shop/130835?redirect=%2Fshop&agb=true
11,163544,Fire & Flower,Edmonton Orchards Gate,9080 25 Ave SW,Edmonton,AB,CA,T6X 2H4,,53.41062,-113.48169,https://fireandflower.com/shop/163544?redirect=%2Fshop&agb=true
12,130836,Fire & Flower,Edmonton Rice Howard Way,10141 100A St NW,Edmonton,AB,CA,T5J 0R5,,53.542,-113.49224,https://fireandflower.com/shop/130836?redirect=%2Fshop&agb=true
13,169099,Fire & Flower,Edmonton Terrace Plaza,5844 Terrace Rd NW,Edmonton,AB,CA,T6A 3Y8,,53.54021,-113.42563,https://fireandflower.com/shop/169099?redirect=%2Fshop&agb=true
14,228799,Fire & Flower,Edmonton Terwillegar,2412 Rabbit Hill Rd NW,Edmonton,AB,CA,T6R 3B5,,53.45536,-113.56569,https://fireandflower.com/shop/228799?redirect=%2Fshop&agb=true
